hebrew	english	rank	gender
אלישבע	Elisheva	20	f
אביה	Avia	20	f
אביגיל	Abigail	20	f
אביטל	Avital	20	f
אבישג	Avishag	20	f
אגם	Agam	30	f
אריאל	Ariel	40	b
אלה	Ella	50	f
אמה	Emma	50	f
אמילי	Emily	50	f
אסתר	Esther	20	f
אפרת	Efrat	20	f
אדל	Adele	50	f
איילה	Ayala	50	f
אליה	Aliya	40	b
אלמה	Alma	40	f
אן	Anne	40	f
ארבל	Arbel	40	f
אביב	Aviv	60	b
אלין	Alin	60	f
אנאל	Annael	40	f
אודל	Odele	40	f
אופיר	Ophir	40	b
אור	Or	40	b
ליה	Lia	60	f
אוריאן	Oriane	50	f
אורין	Orin	50	f
אוריה	Orya	30	b
ברכה	Bracha	20	f
בר	Bar	50	b
בת-שבע	Batsheva	20	f
בתיה	Batya	20	f
גילי	Gili	30	f
גפן	Gefen	50	f
גאיה	Gaia	30	f
גלי	Gali	30	f
דבורה	Dvora	20	f
דניאל	Daniel	60	b
דניאלה	Daniella	60	f
הדס	Hadas	60	f
הדסה	Hadassa	30	f
הילי	Hili	40	f
הילה	Hila	60	f
הללי	Haleli	40	f
הלל	Hallel	40	f
הדר	Hadar	60	b
הודיה	Hodaya	50	f
זוהר	Zohar	40	b
חוה	Chava	30	f
חיה	Chaya	30	f
חנה	Hanna	30	f
טליה	Talia	40	f
טוהר	Tohar	40	b
יהודית	Yehudit	20	f
ירדן	Yarden	60	b
יהלי	Yaheli	50	f
יעל	Yael	50	b
יובל	Yuval	50	b
כרמל	Carmel	40	f
ליה	Lia	50	f
ליאל	Liel	50	f
ליאן	Lian	40	f
ליאור	Lior	60	b
ליבי	Libi	40	f
לאה	Leah	40	f
לני	Lenny	20	f
ליב	Liv	30	f
מיכל	Michal	60	f
מיכאלה	Michaela	50	f
מיקה	Mika	40	f
מרים	Miriam	30	f
מאי	May	50	f
מאיה	Maya	60	f
מלכה	Malka	20	f
מעיין	Maayan	60	f
מוריה	Moriah	50	f
נחמה	Nechama	20	f
נטע	Neta	60	f
נעמה	Naama	50	f
נעמי	Naomi	50	f
נגה	Noga	50	f
נויה	Noya	30	f
נעם	Noam	60	b
נועה	Noa	60	f
עדי	Adi	60	b
עמנואל	Emanuel	40	f
עדן	Eden	60	f
עלמה	Alma	40	f
עמית	Amit	60	b
ענהאל	Anael	30	f
עומר	Omer	40	b
עופרי	Ofri	40	f
ציפורה	Tziporah	20	f
רבקה	Rivka	30	f
רחל	Rachel	30	f
רומי	Romi	60	f
רוני	Roni	60	b
רות	Ruth	40	f
שילת	Shilat	40	f
שיר	Shir	60	f
שירה	Shira	40	f
שחר	Shachar	60	b
שי	Shai	40	b
שי-לי	Shaily	50	f
שני	Shani	60	f
שקד	Shaked	60	f
שוהם	Shoham	40	f
שושנה	Shoshana	30	f
שרה	Sarah	30	f
תהילה	Tehila	30	f
דוד	David	40	m
אריאל	Ariel	50	b
נועם	Noam	50	b
לביא	Lavi	50	m
יוסף	Yosef 	40	m
אורי	Ori	50	m
איתן	Eitan 	50	m
דניאל	Daniel	60	b
יהודה	Yehuda	30	m
משה	Moshe	30	m
רפאל	Raphael	20	m
אהרון	Aaron	30	m
איתי	Itai	40	m
יהונתן	Yehonatan	60	m
