hebrew	english
אהרון	Aaron
אהרונסון	Aaronson
אברהמסון	Abrahamson
אברמוב	Abramov
אברמוביץ'	Abramovich
אברמוביץ'	Abramovitz
אברמסון	Abramson
אקרמן	Ackerman
אדלמן	Adelman
אדלמן	Adelmann
אדלשטיין	Adelstein
אקרמן	Akerman
אלון	Alon
אלפר	Alper
אלטרמן	Alterman
אלטמן	Altman
אלטשולר	Altschuler
עמר	Amar
עמיאל	Amiel
עמיר	Amir
אמור	Amor
אנדלמן	Andelman
אריאן	Arian
ארקין	Arkin
ארון	Aron
ארונוף	Aronoff
ארונוב	Aronov
אשר	Ascher
אשכנזי	Aschkenazi
אסף	Assaf
אטיאס	Attias
אברבך	Averbach
אבנר	Avner
בכר	Bachar
בקל	Bakal
בר	Bar
ברק	Barak
ברוך	Baruch
באום	Baum
באומל	Baumel
ברמן	Berman
בק	Bek
בל	Bell
בלמן	Belman
בן-דוד	Ben-David
בן-עזרא	Ben-Ezra
ברקוביץ'	Berkovich
ברל	Berl
ברנשטיין	Bernstein
בידרמן	Biderman
ביטמן	Bittman
ביטון	Bitton
בלוך	Bloch
בלום	Bloom
בלומברג	Bloomberg
בלונשטיין	Blumstein
בועז	Boaz
בוקר	Boker
ברוורמן	Braverman
בריק	Brick
בריקמן	Brickman
ברוצקי	Brodsky
ברוצמן	Brotman
ברושטיין	Bronstein
ברומברג	Brumberg
בורשטיין	Burstein
כרמל	Carmel
קדוש	Chadosh
כוהן	Cohen
קופר	Cooper
דגן	Dagan
דהן	Dahan
דניאלי	Danieli
דר	Dar
דוד	David
דוידוב	Davidov
דיין	Dayan
אקרמן	Eckerman
אדלמן	Edelman
אדלשטיין	Edelstein
אדלסון	Edelson
אפרון	Efron
איינשטיין	Einstein
אייזנברג	Eisenberg
אלבאום	Elbaum
אלברג	Elberg
אלפנביים	Elfenbein
אלקין	Elkin
רלמן	Elman
ארגס	Ergas
ארליך	Erlich
עזרא	Ezra
פלדברג	Feldberg
פלדמן	Feldman
פינברג	Finberg
פינקל	Finkel
פישר	Fisher
פישלר	Fishler
פישמן	Fishman
פרידמן	Freidman
פרנקל	Frenkel
פרידר	Frieder
פרימן	Frieman
פרישמן	Frishman
פוקס	Fuks
גבאי	Gabbay
גבל	Gabel
גל	Gal
גלינסקי	Galinsky
גנץ	Ganz
גרפונקל	Garfunkel
גפן	Geffen
גלבר	Gelber
גלר	Geller
גרנשטיין	Gerstein
גרטמן	Gertman
גילברג	Gilberg
גילברט	Gilbert
גילינסקי	Gilinsky
גיל	Gill
גינסברג	Ginsberg
גינזבורג	Ginzburg
גיטלין	Gitlin
גליק	Glick
גליקמן	Glickman
גולן	Golan
גולברג	Golberg
גולדברג	Goldberg
גולדנברג	Goldenberg
גולדנשטיין	Goldenstein
גולדין	Goldin
גולדמן	Goldman
גולדנר	Goldner
גורדין	Gordin
גודון	Gordon
גורסקי	Gorsky
גורסמן	Gorsman
גרבר	Greber
גרודסקי	Grodsky
גרינר	Griner
גרינברג	Grinberg
גרוס	Gros
